ra,dec
352.15905,0.24947
323.52165,-1.2177744
327.31379,1.1716955
311.36036,0.84187179
349.83105,0.669889
322.42092,0.58024714
325.56422,-0.61002385
317.50177,0.275363
342.79131,0.69025527
337.02499,0.94199587
326.07497,-1.2394942
337.3114,0.564963
339.48184,-0.56217462
336.33994,1.1755181
318.67347,1.2371729
337.7988,-0.41073179
324.64705,-0.273034
309.22225,0.5364994
340.21902,1.225581
340.97999,0.111167
325.16076,-0.007196
322.35274,0.789341
316.15032,-0.835443
348.51098,1.1485502
320.55127,-0.5195154
323.05212,0.671042
325.02976,-0.815034
325.2798,-0.019915
325.02558,1.150207
350.7009,0.65024413
334.78383,0.5432943
311.51492,0.374019
322.13578,-0.213172
313.13966,-0.26963537
334.10804,0.598641
335.48086,0.94951737
312.56533,-0.14767972
333.85224,-0.83837608
309.50977,0.351558
324.32805,0.396683
326.01889,0.183449
333.7227,-0.83569462
336.31393,-1.1991389
318.33342,-0.99747231
317.86553,-0.176386
326.31114,0.77772366
325.33808,-0.540562
341.38725,-0.474068
340.07067,0.892189
318.1141,0.184935
313.91257,0.432959
345.15056,-0.40214658
322.1748,-0.77065815
324.61588,-0.415264
325.50488,0.615802
340.90548,-0.889482
340.67766,0.173408
328.6046,0.755368
334.63427,-0.79495146
327.16791,-0.16212185
328.05731,0.036631
328.55594,0.992308
343.01191,0.30520105
316.08749,0.49046922
313.20984,0.158807
325.81241,0.880593
320.23718,-0.873126
332.26552,-0.87244101
312.33294,-0.323331
348.82861,0.677985
322.06336,0.06579
310.82233,0.783262
322.48955,0.683936
359.53211,-0.1066031
349.71679,-0.17160345
358.72827,0.92907586
323.36069,0.121607
325.29393,1.021773
317.02695,0.948069
334.05511,0.96851889
315.95476,0.311065
325.30349,-1.105657
323.49736,-0.70930181
328.61727,0.579173
335.32514,-0.17601833
328.8927,0.598455
328.89036,-0.784379
311.87019,0.26493867
327.97713,0.985183
329.57669,0.469959
325.371,0.363542
314.09891,-0.59517306
328.7089,0.188387
317.70292,0.549244
323.19806,0.412791
316.38919,0.364762
334.94744,-0.5438255
356.08676,1.098934
326.16129,-0.674431
342.66132,1.122193
332.55046,0.36239782
332.71712,0.12679024
328.13809,0.212671
324.94061,0.517367
310.00589,0.674176
324.47427,0.425696
334.72285,-0.67521073
356.79273,0.10930633
332.46802,-0.32765694
321.6502,0.46526173
342.27856,0.265854
337.65024,-1.1678188
321.28215,-0.799046
327.91169,0.97912116
340.96285,1.194703
325.82023,0.459895
325.30428,0.62326765
312.05662,0.636594
329.27175,0.029395
322.51711,0.3973286
311.6322,1.077129
336.88144,0.70931591
315.88283,-0.602761
341.34653,-0.824346
340.05051,-0.25343231
334.95404,0.82923382
325.16615,-1.109846
347.1148,-1.104823
325.55374,0.88633066
328.87879,-0.057897
328.22028,-0.91222393
329.22619,-0.956575
311.46737,-1.1598887
331.69237,-0.10843718
355.19663,0.90074106
317.2416,-0.080958766
